,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,,V55,V56,V57,V58
11,0.32009,0.078216,0.012067,0.08041,0.013673,0.081513,0.012379,0.080596,0.011342,0.026197,0.026464,0.02907,0.03161,0.027757,0.026125,0.024429,0.026885,0.050659,0.036964,0.050307,0.030428,0.050253,0.030714,0.042884,0.02786,0.058531,0.05482,0.040498,0.071479,0.054076,0.046438,0.040957,0.070803,0.062628,0.032287,0.051988,0.036064,0.053332,0.028512,0.048092,0.036152,0.040279,0.042074,0.034961,0.035252,0.034198,0.035287,0.033734,0.034657,0.033822,0.070303,0.03143,0.063616,0.029209,0.065778,0.029342,0.064618,0.5173,0.71483
12,0.10434,0.046007,0.0042314,0.055467,0.0044998,0.044307,0.0036323,0.062657,0.002962,0.015664,0.018877,0.018373,0.016855,0.015926,0.017835,0.019829,0.016549,0.10996,0.030925,0.10271,0.041047,0.12703,0.030592,0.1334,0.036025,0.12668,0.13003,0.19608,0.22633,0.13983,0.14927,0.20569,0.20444,0.16748,0.062269,0.22529,0.078512,0.20794,0.08042,0.21747,0.064663,0.046548,0.048588,0.055282,0.05819,0.065163,0.059316,0.052802,0.050776,0.047089,0.024803,0.063939,0.040455,0.068763,0.022287,0.057538,0.036477,0.5238,0.39822
13,0.39065,0.089142,0.018234,0.057137,0.016122,0.087143,0.019019,0.059715,0.019894,0.025886,0.023417,0.022935,0.024447,0.026392,0.027091,0.026133,0.026554,0.034344,0.028824,0.030577,0.022248,0.03899,0.0366,0.035479,0.024378,0.052055,0.046264,0.035486,0.033337,0.061197,0.054263,0.035728,0.038988,0.037714,0.025891,0.029482,0.028585,0.047055,0.028068,0.033775,0.028083,0.02334,0.022945,0.028284,0.028148,0.028527,0.028419,0.027065,0.026286,0.023357,0.08049,0.027828,0.0547,0.026777,0.082886,0.027043,0.053276,0.48841,0.72023
14,0.2259,0.066561,0.011961,0.062644,0.0089977,0.053755,0.0088348,0.055554,0.01025,0.021959,0.022064,0.019806,0.019802,0.018247,0.018709,0.019983,0.021508,0.097956,0.021744,0.071854,0.019174,0.054323,0.017812,0.077192,0.026332,0.057163,0.076519,0.060659,0.039608,0.045788,0.063625,0.079081,0.056596,0.10472,0.041148,0.062939,0.03605,0.076328,0.041731,0.12897,0.047358,0.032574,0.030683,0.027433,0.028404,0.034536,0.038776,0.048324,0.04917,0.037163,0.042796,0.030923,0.043501,0.046424,0.050983,0.066093,0.047385,0.68894,0.57271
15,0.11939,0.050369,0.0040269,0.071549,0.0045796,0.04923,0.0027698,0.060007,0.0031771,0.02779,0.027464,0.034058,0.031904,0.025037,0.026292,0.025615,0.029096,0.12783,0.049011,0.12026,0.063642,0.11549,0.044888,0.10394,0.062251,0.15564,0.1247,0.23696,0.17105,0.14755,0.12664,0.2146,0.17953,0.13496,0.078402,0.17616,0.081567,0.14196,0.070189,0.23067,0.091969,0.058554,0.051314,0.042777,0.040263,0.047406,0.052443,0.050653,0.0493,0.039701,0.03358,0.029453,0.047838,0.038778,0.03614,0.038155,0.052785,0.56895,0.38988
16,0.32642,0.065918,0.018358,0.080281,0.016027,0.067158,0.017571,0.081064,0.015492,0.032919,0.031438,0.029574,0.031486,0.031814,0.030896,0.029453,0.030647,0.056203,0.034105,0.064756,0.041084,0.052106,0.032616,0.058743,0.039562,0.055943,0.072761,0.082236,0.064502,0.055633,0.067954,0.074115,0.071721,0.063817,0.050924,0.070689,0.039037,0.074349,0.045721,0.071472,0.040898,0.041302,0.04249,0.040192,0.040658,0.039889,0.040133,0.041174,0.041673,0.037236,0.056336,0.039668,0.065692,0.03644,0.057986,0.038916,0.067293,0.51282,0.69344
17,0.14817,0.075518,0.0048299,0.062182,0.0048692,0.071469,0.0051527,0.070973,0.0055576,0.033297,0.027847,0.030122,0.028452,0.03259,0.039125,0.03445,0.03515,0.12371,0.042832,0.12285,0.055105,0.14474,0.055382,0.1388,0.053528,0.14745,0.16777,0.17149,0.20946,0.2185,0.22445,0.18727,0.16894,0.1089,0.094522,0.14732,0.1083,0.15887,0.10203,0.14726,0.089289,0.046915,0.046775,0.05051,0.059914,0.057474,0.063513,0.057296,0.048395,0.019929,0.060664,0.02649,0.069531,0.02942,0.059523,0.022209,0.052754,0.49803,0.41826
18,0.37303,0.096422,0.0186,0.076627,0.022272,0.082199,0.016422,0.071712,0.020803,0.035037,0.035849,0.03763,0.034447,0.03064,0.02996,0.034096,0.034023,0.060923,0.054015,0.057278,0.036353,0.054548,0.046076,0.054395,0.037682,0.098268,0.096492,0.062971,0.065747,0.078525,0.088451,0.059781,0.068159,0.070776,0.054285,0.048084,0.052823,0.062082,0.050086,0.049206,0.058444,0.045242,0.041167,0.037189,0.035138,0.039453,0.041069,0.040748,0.040493,0.030092,0.074595,0.023803,0.063072,0.029088,0.08339,0.030023,0.068889,0.44853,0.69928
19,0.33568,0.05976,0.01363,0.07952,0.016296,0.065225,0.016833,0.083054,0.014556,0.020275,0.018751,0.021308,0.024252,0.025251,0.024979,0.021355,0.02195,0.039088,0.0217,0.041893,0.041709,0.048491,0.024546,0.048914,0.036149,0.035975,0.030261,0.071062,0.057748,0.040601,0.033504,0.0662,0.050916,0.042139,0.029149,0.079885,0.03141,0.05469,0.030058,0.082775,0.02582,0.029218,0.034126,0.037672,0.035527,0.034049,0.034948,0.030161,0.02679,0.034052,0.056148,0.038813,0.071317,0.036208,0.048983,0.029815,0.068467,0.53266,0.70342
20,0.38333,0.086048,0.020168,0.068256,0.017515,0.083129,0.017942,0.065607,0.01828,0.03387,0.034169,0.031031,0.028108,0.030861,0.02943,0.026806,0.03034,0.046194,0.042393,0.043767,0.032561,0.040654,0.038645,0.043653,0.035799,0.052914,0.052921,0.04415,0.048029,0.04803,0.052162,0.048048,0.044626,0.050733,0.033165,0.040441,0.031814,0.047843,0.034416,0.041795,0.037424,0.033564,0.029053,0.031431,0.030821,0.029721,0.034425,0.033487,0.035589,0.024794,0.076803,0.026899,0.062137,0.02594,0.081926,0.030469,0.063877,0.47076,0.72253
21,0.24986,0.088057,0.0071062,0.072638,0.008346,0.088179,0.0078394,0.074694,0.0072767,0.022537,0.021803,0.022368,0.024438,0.024185,0.023842,0.02382,0.02479,0.06744,0.023209,0.0752,0.021882,0.063101,0.024251,0.074804,0.022119,0.057814,0.059485,0.060665,0.051233,0.054365,0.060563,0.053764,0.052834,0.082439,0.043307,0.073562,0.033458,0.086691,0.038203,0.075928,0.038507,0.045166,0.049903,0.047356,0.04482,0.04655,0.050726,0.048482,0.04438,0.045478,0.062403,0.045269,0.053237,0.048587,0.063222,0.044326,0.05599,0.55413,0.69321
22,0.092948,0.055148,0.0024336,0.050682,0.0026253,0.051728,0.0019222,0.051008,0.0025846,0.020963,0.017612,0.01888,0.018166,0.018021,0.017412,0.020591,0.021867,0.10402,0.026042,0.093496,0.025055,0.10038,0.025057,0.10817,0.030066,0.090739,0.083154,0.075088,0.088685,0.085856,0.093584,0.09336,0.097447,0.17981,0.046116,0.15577,0.052083,0.16961,0.059572,0.171,0.053107,0.045396,0.04554,0.044192,0.045656,0.050286,0.052344,0.050107,0.045708,0.044569,0.035753,0.043797,0.035326,0.047311,0.040523,0.044624,0.033899,0.76898,0.34882
23,0.33978,0.066737,0.01669,0.097438,0.016914,0.066623,0.013949,0.085361,0.013528,0.030264,0.032487,0.034221,0.033498,0.031207,0.02673,0.027477,0.028925,0.056096,0.032643,0.057279,0.044323,0.054832,0.027386,0.05019,0.042079,0.056091,0.052704,0.08453,0.085696,0.050488,0.043099,0.076131,0.076601,0.051779,0.050886,0.071313,0.049864,0.043815,0.044083,0.07121,0.049409,0.039322,0.041559,0.03909,0.035822,0.033793,0.034327,0.036843,0.040259,0.027504,0.058956,0.024278,0.077588,0.023097,0.056449,0.028464,0.089492,0.53601,0.6709
24,0.1469,0.050505,0.0048601,0.047978,0.005361,0.052711,0.0063036,0.054968,0.0062843,0.015097,0.012578,0.013287,0.013519,0.015431,0.016709,0.01697,0.016478,0.063216,0.021923,0.052662,0.023173,0.070527,0.025424,0.072504,0.02511,0.061213,0.062151,0.06418,0.087051,0.084356,0.06657,0.07144,0.073383,0.11504,0.024542,0.108,0.036641,0.13541,0.034373,0.11038,0.031798,0.032055,0.030382,0.039396,0.04003,0.042157,0.040153,0.034349,0.032494,0.0408,0.036883,0.047898,0.039026,0.048766,0.034791,0.040385,0.03308,0.78346,0.45599
25,0.27318,0.073296,0.012107,0.064811,0.013009,0.069506,0.012182,0.062209,0.012814,0.026846,0.023894,0.027796,0.030001,0.027168,0.023532,0.026468,0.030162,0.065685,0.030946,0.065206,0.035037,0.061093,0.038169,0.079287,0.048297,0.068389,0.068015,0.081101,0.07211,0.089262,0.12423,0.10074,0.092288,0.068324,0.049504,0.080515,0.045155,0.094422,0.05543,0.14496,0.041256,0.039195,0.042628,0.039324,0.037542,0.043516,0.04837,0.045979,0.036088,0.031907,0.057667,0.032462,0.047913,0.043057,0.057834,0.03871,0.049741,0.62175,0.5875
26,0.24092,0.068816,0.0081422,0.11395,0.0081486,0.062277,0.0067304,0.099479,0.0063172,0.031142,0.029966,0.026569,0.02518,0.025164,0.022699,0.021534,0.02621,0.08643,0.027358,0.067209,0.040872,0.076206,0.024724,0.076453,0.048284,0.064266,0.069574,0.081244,0.11694,0.059507,0.065446,0.10585,0.1329,0.10128,0.03756,0.12195,0.042456,0.084439,0.042708,0.14541,0.0509,0.044258,0.042397,0.041329,0.040811,0.041098,0.047474,0.053595,0.052237,0.04082,0.048732,0.036537,0.083388,0.039384,0.049418,0.042336,0.093275,0.53452,0.64774
